日期,收盤,開盤,最高,最低,成交量
2015/1/1, NT$141.00 , NT$140.50 , NT$147.00 , NT$130.00 ,"1,055,454,351"
2015/2/1, NT$150.50 , NT$140.50 , NT$154.50 , NT$140.50 ,"541,074,993"
2015/3/1, NT$145.50 , NT$151.50 , NT$155.00 , NT$142.00 ,"1,170,613,706"
2015/4/1, NT$147.00 , NT$145.00 , NT$153.50 , NT$141.50 ,"1,027,344,911"
2015/5/1, NT$146.00 , NT$148.50 , NT$149.00 , NT$144.50 ,"547,191,515"
2015/6/1, NT$140.50 , NT$145.50 , NT$147.50 , NT$138.00 ,"776,190,206"
2015/7/1, NT$139.50 , NT$140.00 , NT$142.50 , NT$134.00 ,"750,709,967"
2015/8/1, NT$129.00 , NT$138.50 , NT$138.50 , NT$112.50 ,"1,092,513,062"
2015/9/1, NT$130.00 , NT$127.50 , NT$131.50 , NT$122.00 ,"692,552,450"
2015/10/1, NT$136.50 , NT$131.00 , NT$141.00 , NT$129.50 ,"737,037,087"
2015/11/1, NT$139.00 , NT$138.50 , NT$144.50 , NT$134.00 ,"730,276,711"
2015/12/1, NT$143.00 , NT$140.50 , NT$145.00 , NT$137.50 ,"659,769,609"
2016/1/1, NT$143.00 , NT$142.50 , NT$143.50 , NT$130.50 ,"856,991,639"
2016/2/1, NT$149.00 , NT$144.00 , NT$152.50 , NT$141.50 ,"558,111,346"
2016/3/1, NT$162.00 , NT$148.50 , NT$163.00 , NT$148.50 ,"760,245,060"
2016/4/1, NT$150.00 , NT$161.00 , NT$162.50 , NT$149.00 ,"683,043,417"
2016/5/1, NT$156.50 , NT$148.00 , NT$158.00 , NT$143.00 ,"848,403,673"
2016/6/1, NT$162.50 , NT$156.00 , NT$166.00 , NT$154.00 ,"734,420,210"
2016/7/1, NT$172.50 , NT$164.50 , NT$177.00 , NT$160.50 ,"693,505,047"
2016/8/1, NT$176.00 , NT$175.00 , NT$179.50 , NT$171.50 ,"514,306,014"
2016/9/1, NT$182.50 , NT$176.00 , NT$187.50 , NT$173.00 ,"628,893,515"
2016/10/1, NT$188.50 , NT$186.00 , NT$193.00 , NT$184.50 ,"516,586,533"
2016/11/1, NT$183.00 , NT$188.50 , NT$190.50 , NT$179.00 ,"638,282,043"
2016/12/1, NT$181.50 , NT$182.00 , NT$187.50 , NT$178.00 ,"544,625,080"
2017/1/1, NT$186.00 , NT$181.50 , NT$186.50 , NT$179.00 ,"529,700,846"
2017/2/1, NT$189.00 , NT$188.00 , NT$191.00 , NT$183.00 ,"651,326,172"
2017/3/1, NT$189.00 , NT$188.50 , NT$195.00 , NT$183.00 ,"650,623,382"
2017/4/1, NT$194.50 , NT$189.50 , NT$194.50 , NT$186.50 ,"467,895,895"
2017/5/1, NT$203.00 , NT$193.50 , NT$208.50 , NT$193.00 ,"650,574,671"
2017/6/1, NT$208.50 , NT$205.00 , NT$218.50 , NT$204.50 ,"760,029,683"
2017/7/1, NT$214.50 , NT$207.50 , NT$216.00 , NT$205.50 ,"461,581,378"
2017/8/1, NT$216.50 , NT$212.50 , NT$219.00 , NT$210.00 ,"484,863,428"
2017/9/1, NT$216.50 , NT$215.00 , NT$223.00 , NT$213.50 ,"503,879,315"
2017/10/1, NT$243.00 , NT$219.50 , NT$245.00 , NT$218.50 ,"494,024,377"
2017/11/1, NT$226.00 , NT$243.50 , NT$245.00 , NT$226.00 ,"553,669,555"
2017/12/1, NT$229.50 , NT$228.50 , NT$234.50 , NT$222.50 ,"530,646,881"
2018/1/1, NT$255.00 , NT$231.50 , NT$266.00 , NT$231.00 ,"747,132,098"
2018/2/1, NT$246.00 , NT$257.50 , NT$261.00 , NT$228.50 ,"659,698,545"
2018/3/1, NT$247.50 , NT$244.00 , NT$259.00 , NT$238.50 ,"695,015,980"
2018/4/1, NT$227.00 , NT$248.50 , NT$249.00 , NT$221.00 ,"727,237,828"
2018/5/1, NT$224.00 , NT$227.00 , NT$234.50 , NT$220.00 ,"661,608,936"
2018/6/1, NT$216.50 , NT$224.50 , NT$232.00 , NT$210.00 ,"737,510,521"
2018/7/1, NT$246.00 , NT$218.50 , NT$246.00 , NT$213.00 ,"704,885,486"
2018/8/1, NT$256.00 , NT$247.00 , NT$268.00 , NT$238.00 ,"585,942,114"
2018/9/1, NT$262.50 , NT$259.00 , NT$268.00 , NT$253.50 ,"767,100,384"
2018/10/1, NT$234.00 , NT$262.00 , NT$264.00 , NT$217.00 ,"929,451,786"
2018/11/1, NT$225.50 , NT$236.00 , NT$237.50 , NT$214.00 ,"757,457,406"
2018/12/1, NT$225.50 , NT$231.00 , NT$235.00 , NT$215.00 ,"646,807,827"
2019/1/1, NT$221.00 , NT$226.50 , NT$229.50 , NT$206.50 ,"744,403,635"
2019/2/1, NT$239.00 , NT$228.00 , NT$240.00 , NT$226.00 ,"398,420,368"
2019/3/1, NT$245.50 , NT$239.50 , NT$248.50 , NT$227.50 ,"486,084,900"
2019/4/1, NT$259.00 , NT$251.00 , NT$270.00 , NT$245.00 ,"653,253,770"
2019/5/1, NT$235.50 , NT$261.50 , NT$265.00 , NT$227.00 ,"903,340,933"
2019/6/1, NT$239.00 , NT$235.50 , NT$248.50 , NT$229.50 ,"706,079,172"
2019/7/1, NT$259.50 , NT$245.50 , NT$266.50 , NT$240.00 ,"683,857,533"
2019/8/1, NT$259.00 , NT$257.50 , NT$259.00 , NT$240.00 ,"653,621,478"
2019/9/1, NT$272.00 , NT$258.00 , NT$272.50 , NT$253.00 ,"594,814,567"
2019/10/1, NT$298.50 , NT$273.00 , NT$301.50 , NT$273.00 ,"788,214,849"
2019/11/1, NT$305.00 , NT$299.50 , NT$315.00 , NT$296.50 ,"627,432,788"
2019/12/1, NT$331.00 , NT$307.00 , NT$345.00 , NT$304.00 ,"738,054,599"
2020/1/1, NT$320.00 , NT$332.50 , NT$346.00 , NT$316.50 ,"723,936,416"
2020/2/1, NT$316.00 , NT$315.00 , NT$338.00 , NT$312.00 ,"731,761,072"
2020/3/1, NT$274.00 , NT$308.00 , NT$326.00 , NT$235.50 ,"1,906,813,004"
2020/4/1, NT$304.50 , NT$276.50 , NT$309.00 , NT$270.00 ,"946,367,569"
2020/5/1, NT$292.00 , NT$294.50 , NT$301.50 , NT$288.50 ,"890,720,889"
2020/6/1, NT$313.00 , NT$294.00 , NT$327.00 , NT$293.50 ,"902,775,975"
2020/7/1, NT$425.50 , NT$315.00 , NT$466.50 , NT$314.00 ,"1,468,403,011"
2020/8/1, NT$426.50 , NT$420.50 , NT$453.50 , NT$401.00 ,"1,001,180,932"
2020/9/1, NT$433.00 , NT$430.00 , NT$462.00 , NT$421.00 ,"959,918,823"
2020/10/1, NT$432.00 , NT$438.00 , NT$465.00 , NT$431.50 ,"741,996,408"
2020/11/1, NT$480.50 , NT$433.00 , NT$506.00 , NT$428.00 ,"1,027,361,779"
2020/12/1, NT$530.00 , NT$489.50 , NT$530.00 , NT$483.50 ,"851,356,904"
2021/1/1, NT$591.00 , NT$530.00 , NT$679.00 , NT$528.00 ,"1,536,622,546"
2021/2/1, NT$606.00 , NT$595.00 , NT$668.00 , NT$587.00 ,"892,901,846"
2021/3/1, NT$587.00 , NT$621.00 , NT$622.00 , NT$570.00 ,"1,165,012,086"
2021/4/1, NT$600.00 , NT$598.00 , NT$619.00 , NT$590.00 ,"628,665,570"
2021/5/1, NT$597.00 , NT$595.00 , NT$600.00 , NT$518.00 ,"922,432,701"
2021/6/1, NT$595.00 , NT$598.00 , NT$609.00 , NT$578.00 ,"557,079,870"
2021/7/1, NT$580.00 , NT$596.00 , NT$615.00 , NT$573.00 ,"625,629,902"
2021/8/1, NT$614.00 , NT$583.00 , NT$614.00 , NT$551.00 ,"657,235,969"
2021/9/1, NT$580.00 , NT$614.00 , NT$638.00 , NT$575.00 ,"605,141,861"
2021/10/1, NT$590.00 , NT$579.00 , NT$604.00 , NT$560.00 ,"491,163,633"
2021/11/1, NT$596.00 , NT$591.00 , NT$623.00 , NT$585.00 ,"546,612,820"
2021/12/1, NT$615.00 , NT$596.00 , NT$620.00 , NT$594.00 ,"491,063,060"
2022/1/1, NT$636.00 , NT$619.00 , NT$688.00 , NT$618.00 ,"984,110,328"
2022/2/1, NT$604.00 , NT$644.00 , NT$650.00 , NT$600.00 ,"615,010,872"
2022/3/1, NT$597.00 , NT$599.00 , NT$610.00 , NT$555.00 ,"1,072,611,290"
2022/4/1, NT$538.00 , NT$585.00 , NT$589.00 , NT$523.00 ,"682,213,343"
2022/5/1, NT$560.00 , NT$538.00 , NT$560.00 , NT$505.00 ,"658,580,130"
2022/6/1, NT$476.00 , NT$550.00 , NT$555.00 , NT$476.00 ,"677,151,063"
2022/7/1, NT$509.00 , NT$471.50 , NT$510.00 , NT$433.00 ,"776,227,390"
2022/8/1, NT$505.00 , NT$506.00 , NT$527.00 , NT$488.50 ,"565,224,782"
2022/9/1, NT$422.00 , NT$495.00 , NT$495.50 , NT$422.00 ,"661,649,308"
2022/10/1, NT$390.00 , NT$418.50 , NT$451.00 , NT$370.00 ,"1,030,660,938"
2022/11/1, NT$490.00 , NT$388.50 , NT$498.00 , NT$378.50 ,"1,052,833,025"
2022/12/1, NT$448.50 , NT$506.00 , NT$508.00 , NT$442.50 ,"663,747,023"
2023/1/1, NT$522.00 , NT$446.00 , NT$543.00 , NT$443.00 ,"587,061,398"
2023/2/1, NT$511.00 , NT$532.00 , NT$546.00 , NT$505.00 ,"585,222,538"
2023/3/1, NT$533.00 , NT$504.00 , NT$539.00 , NT$504.00 ,"577,588,001"
2023/4/1, NT$502.00 , NT$530.00 , NT$535.00 , NT$489.00 ,"410,428,309"
2023/5/1, NT$558.00 , NT$500.00 , NT$574.00 , NT$494.50 ,"732,697,640"
2023/6/1, NT$576.00 , NT$550.00 , NT$594.00 , NT$550.00 ,"540,361,738"
2023/7/1, NT$565.00 , NT$578.00 , NT$591.00 , NT$557.00 ,"460,611,696"
2023/8/1, NT$549.00 , NT$565.00 , NT$569.00 , NT$534.00 ,"483,988,753"
2023/9/1, NT$523.00 , NT$543.00 , NT$558.00 , NT$516.00 ,"461,116,932"
2023/10/1, NT$529.00 , NT$530.00 , NT$556.00 , NT$519.00 ,"552,436,073"
2023/11/1, NT$577.00 , NT$533.00 , NT$585.00 , NT$527.00 ,"581,045,322"
2023/12/1, NT$593.00 , NT$573.00 , NT$593.00 , NT$566.00 ,"608,441,970"
2024/1/1, NT$628.00 , NT$590.00 , NT$648.00 , NT$574.00 ,"888,538,618 "
2024/2/1, NT$690.00 , NT$625.00 , NT$709.00 , NT$619.00 ,"611,115,130 "
2024/3/1, NT$779.00 , NT$697.00 , NT$796.00 , NT$688.00 ,"1,074,970,812 "
2024/4/1, NT$790.00 , NT$783.00 , NT$826.00 , NT$740.00 ,"876,286,211 "
2024/5/1, NT$821.00 , NT$789.00 , NT$878.00 , NT$772.00 ,"823,888,916 "
2024/6/1, NT$966.00 , NT$839.00 , NT$984.00 , NT$835.00 ,"987,987,456 "
2024/7/1, NT$934.00 , NT$968.00 ," NT$1,080.00 ", NT$915.00 ,"1,147,907,041 "
2024/8/1, NT$944.00 , NT$969.00 , NT$977.00 , NT$813.00 ,"1,086,069,076 "
2024/9/1, NT$957.00 , NT$950.00 ," NT$1,025.00 ", NT$888.00 ,"744,589,301 "
2024/10/1," NT$1,030.00 ", NT$967.00 ," NT$1,100.00 ", NT$967.00 ,"865,160,449 "
