日期,收盤,開盤,最高,最低,成交量
1994/9/5,NT$5.41 ,NT$4.15 ,NT$5.41 ,NT$4.15 ,"9,000"
1994/9/12,NT$7.40 ,NT$6.17 ,NT$7.66 ,NT$6.17 ,"55,686,000"
1994/9/21,NT$7.57 ,NT$7.40 ,NT$7.61 ,NT$7.27 ,"21,370,000"
1994/9/26,NT$7.40 ,NT$7.40 ,NT$7.53 ,NT$7.31 ,"12,831,000"
1994/10/3,NT$7.31 ,NT$7.44 ,NT$7.66 ,NT$7.23 ,"31,566,000"
1994/10/11,NT$7.27 ,NT$6.84 ,NT$7.36 ,NT$6.66 ,"24,437,000"
1994/10/17,NT$7.10 ,NT$7.36 ,NT$7.40 ,NT$7.10 ,"10,916,000"
1994/10/24,NT$6.88 ,NT$6.97 ,NT$7.01 ,NT$6.75 ,"6,491,000"
1994/11/1,NT$6.92 ,NT$7.05 ,NT$7.05 ,NT$6.75 ,"7,132,000"
1994/11/7,NT$7.01 ,NT$6.88 ,NT$7.05 ,NT$6.79 ,"4,890,000"
1994/11/14,NT$6.92 ,NT$7.05 ,NT$7.05 ,NT$6.88 ,"3,344,000"
1994/11/21,NT$6.97 ,NT$7.01 ,NT$7.01 ,NT$6.84 ,"4,821,000"
1994/11/28,NT$6.88 ,NT$6.92 ,NT$6.92 ,NT$6.79 ,"6,665,000"
1994/12/5,NT$6.97 ,NT$7.05 ,NT$7.27 ,NT$6.88 ,"10,322,000"
1994/12/12,NT$6.71 ,NT$6.88 ,NT$6.88 ,NT$6.71 ,"5,706,000"
1994/12/19,NT$6.71 ,NT$6.75 ,NT$6.88 ,NT$6.66 ,"7,643,000"
1994/12/27,NT$6.75 ,NT$6.71 ,NT$6.84 ,NT$6.66 ,"6,365,000"
1995/1/5,NT$6.66 ,NT$6.79 ,NT$6.84 ,NT$6.66 ,"2,410,000"
1995/1/9,NT$6.32 ,NT$6.66 ,NT$6.66 ,NT$6.32 ,"7,049,000"
1995/1/16,NT$6.12 ,NT$6.06 ,NT$6.40 ,NT$5.88 ,"11,420,000"
1995/1/23,NT$6.10 ,NT$6.32 ,NT$6.34 ,NT$5.97 ,"6,150,000"
1995/2/6,NT$6.43 ,NT$6.19 ,NT$6.49 ,NT$6.14 ,"4,988,000"
1995/2/13,NT$6.84 ,NT$6.49 ,NT$6.84 ,NT$6.40 ,"8,238,000"
1995/2/20,NT$6.92 ,NT$6.75 ,NT$7.01 ,NT$6.62 ,"7,191,000"
1995/2/27,NT$6.62 ,NT$6.75 ,NT$6.79 ,NT$6.40 ,"8,914,000"
1995/3/6,NT$6.92 ,NT$6.71 ,NT$6.97 ,NT$6.66 ,"9,040,000"
1995/3/13,NT$7.18 ,NT$6.97 ,NT$7.23 ,NT$6.92 ,"12,629,000"
1995/3/20,NT$7.18 ,NT$7.18 ,NT$7.23 ,NT$6.92 ,"9,113,000"
1995/3/27,NT$8.13 ,NT$7.36 ,NT$8.18 ,NT$7.27 ,"24,284,000"
1995/4/6,NT$8.05 ,NT$8.09 ,NT$8.31 ,NT$7.96 ,"12,986,000"
1995/4/10,NT$7.79 ,NT$8.00 ,NT$8.22 ,NT$7.74 ,"20,577,000"
1995/4/17,NT$7.40 ,NT$7.57 ,NT$7.70 ,NT$7.27 ,"13,432,000"
1995/4/24,NT$7.53 ,NT$7.49 ,NT$7.66 ,NT$7.27 ,"13,741,000"
1995/5/1,NT$7.10 ,NT$7.53 ,NT$7.57 ,NT$7.10 ,"8,289,000"
1995/5/8,NT$7.61 ,NT$7.23 ,NT$7.66 ,NT$7.14 ,"11,379,000"
1995/5/15,NT$7.87 ,NT$7.92 ,NT$8.05 ,NT$7.79 ,"12,688,000"
1995/5/22,NT$8.00 ,NT$7.87 ,NT$8.22 ,NT$7.83 ,"18,215,000"
1995/5/29,NT$8.13 ,NT$7.74 ,NT$8.18 ,NT$7.57 ,"15,352,000"
1995/6/5,NT$8.39 ,NT$8.18 ,NT$8.39 ,NT$8.05 ,"20,299,000"
1995/6/12,NT$8.14 ,NT$8.39 ,NT$8.57 ,NT$7.59 ,"63,099,000"
1995/6/19,NT$8.29 ,NT$7.94 ,NT$8.41 ,NT$7.79 ,"27,421,000"
1995/6/26,NT$9.77 ,NT$8.57 ,NT$9.81 ,NT$8.57 ,"80,755,000"
1995/7/3,NT$9.50 ,NT$9.58 ,NT$9.62 ,NT$9.15 ,"54,450,000"
1995/7/10,NT$9.27 ,NT$9.27 ,NT$9.50 ,NT$9.11 ,"27,111,000"
1995/7/17,NT$8.37 ,NT$9.19 ,NT$9.19 ,NT$8.29 ,"51,026,000"
1995/7/24,NT$8.33 ,NT$8.37 ,NT$8.49 ,NT$7.55 ,"44,879,000"
1995/7/31,NT$7.79 ,NT$8.02 ,NT$8.10 ,NT$7.32 ,"48,114,000"
1995/8/7,NT$7.55 ,NT$7.44 ,NT$7.83 ,NT$7.44 ,"31,966,000"
1995/8/14,NT$8.45 ,NT$7.83 ,NT$8.53 ,NT$7.71 ,"40,353,000"
1995/8/21,NT$8.02 ,NT$8.33 ,NT$8.57 ,NT$7.83 ,"27,419,000"
1995/8/28,NT$8.22 ,NT$8.06 ,NT$8.33 ,NT$8.02 ,"15,313,000"
1995/9/4,NT$8.80 ,NT$8.26 ,NT$8.84 ,NT$8.22 ,"29,477,000"
1995/9/11,NT$8.64 ,NT$8.96 ,NT$8.96 ,NT$8.49 ,"18,301,000"
1995/9/18,NT$8.57 ,NT$8.45 ,NT$8.80 ,NT$8.45 ,"10,308,000"
1995/9/25,NT$7.67 ,NT$8.57 ,NT$8.61 ,NT$7.67 ,"27,717,000"
1995/10/2,NT$7.67 ,NT$7.59 ,NT$7.71 ,NT$7.44 ,"19,160,000"
1995/10/9,NT$7.32 ,NT$7.67 ,NT$7.71 ,NT$7.09 ,"26,866,000"
1995/10/16,NT$7.20 ,NT$7.24 ,NT$7.32 ,NT$7.16 ,"9,129,000"
1995/10/23,NT$7.13 ,NT$7.16 ,NT$7.28 ,NT$7.01 ,"5,550,000"
1995/10/30,NT$6.78 ,NT$6.81 ,NT$6.81 ,NT$6.50 ,"15,686,000"
1995/11/6,NT$6.58 ,NT$6.78 ,NT$6.93 ,NT$6.54 ,"12,519,000"
1995/11/14,NT$6.00 ,NT$6.62 ,NT$6.62 ,NT$6.00 ,"12,439,000"
1995/11/20,NT$6.15 ,NT$6.15 ,NT$6.31 ,NT$6.07 ,"10,381,000"
1995/11/27,NT$6.58 ,NT$6.35 ,NT$6.62 ,NT$6.35 ,"15,079,000"
1995/12/4,NT$6.66 ,NT$6.70 ,NT$6.70 ,NT$6.35 ,"12,261,000"
