日期,收盤,開盤,最高,最低,成交量
2023/11/20, NT$131.20 , NT$131.05 , NT$132.70 , NT$130.45 ,"65,108,468 "
2023/11/27, NT$131.80 , NT$131.20 , NT$132.20 , NT$130.10 ,"43,364,774 "
2023/12/4, NT$131.05 , NT$131.80 , NT$132.00 , NT$129.90 ,"33,563,346 "
2023/12/11, NT$133.70 , NT$131.05 , NT$134.20 , NT$130.65 ,"64,277,707 "
2023/12/18, NT$132.95 , NT$133.65 , NT$133.90 , NT$132.05 ,"31,878,478 "
2023/12/25, NT$135.45 , NT$133.00 , NT$136.00 , NT$132.95 ,"85,350,033 "
2024/1/2, NT$132.15 , NT$135.60 , NT$135.95 , NT$132.10 ,"30,472,484 "
2024/1/8, NT$132.65 , NT$133.00 , NT$133.95 , NT$131.95 ,"35,543,927 "
2024/1/15, NT$132.90 , NT$133.30 , NT$133.55 , NT$127.30 ,"109,234,225 "
2024/1/22, NT$135.65 , NT$133.80 , NT$135.95 , NT$133.35 ,"79,018,803 "
2024/1/29, NT$135.10 , NT$135.65 , NT$136.65 , NT$133.60 ,"62,548,759 "
2024/2/5, NT$135.95 , NT$135.10 , NT$136.20 , NT$135.00 ,"17,961,425 "
2024/2/15, NT$141.30 , NT$142.20 , NT$142.70 , NT$141.20 ,"62,718,117 "
2024/2/19, NT$143.75 , NT$141.00 , NT$144.10 , NT$140.40 ,"69,502,472 "
2024/2/26, NT$142.80 , NT$143.70 , NT$144.20 , NT$142.65 ,"33,268,417 "
2024/3/4, NT$154.45 , NT$145.00 , NT$156.45 , NT$144.85 ,"121,867,260 "
2024/3/11, NT$153.00 , NT$153.85 , NT$156.15 , NT$152.10 ,"60,793,434 "
2024/3/18, NT$157.20 , NT$153.00 , NT$158.25 , NT$153.00 ,"66,043,568 "
2024/3/25, NT$157.90 , NT$157.20 , NT$159.20 , NT$155.90 ,"32,401,859 "
2024/4/1, NT$158.55 , NT$158.20 , NT$159.65 , NT$157.25 ,"18,695,208 "
2024/4/8, NT$162.10 , NT$158.65 , NT$163.35 , NT$158.55 ,"31,706,465 "
2024/4/15, NT$150.90 , NT$160.25 , NT$160.55 , NT$149.50 ,"76,168,838 "
2024/4/22, NT$156.00 , NT$150.40 , NT$156.80 , NT$149.70 ,"35,127,540 "
2024/4/29, NT$156.95 , NT$157.30 , NT$159.35 , NT$156.00 ,"25,530,066 "
2024/5/6, NT$161.65 , NT$159.00 , NT$162.10 , NT$159.00 ,"37,556,252 "
2024/5/13, NT$167.25 , NT$163.35 , NT$169.75 , NT$162.70 ,"50,803,194 "
2024/5/20, NT$170.60 , NT$167.25 , NT$171.45 , NT$165.30 ,"29,329,184 "
2024/5/27, NT$166.00 , NT$171.75 , NT$173.40 , NT$166.00 ,"38,879,311 "
2024/6/3, NT$172.85 , NT$168.65 , NT$174.60 , NT$166.15 ,"48,346,516 "
2024/6/11, NT$180.00 , NT$173.15 , NT$180.50 , NT$172.90 ,"43,077,347 "
2024/6/17, NT$188.60 , NT$179.20 , NT$189.75 , NT$178.80 ,"64,504,916 "
2024/6/24, NT$186.45 , NT$186.50 , NT$187.40 , NT$180.80 ,"48,679,603 "
