日期,收盤,開盤,最高,最低,成交量
2021/11/29, NT$593.00 , NT$594.00 , NT$598.00 , NT$591.00 ,"24,160,615"
2021/11/30, NT$596.00 , NT$597.00 , NT$600.00 , NT$591.00 ,"69,160,408"
2021/12/1, NT$600.00 , NT$596.00 , NT$603.00 , NT$594.00 ,"30,119,408"
2021/12/2, NT$615.00 , NT$605.00 , NT$615.00 , NT$602.00 ,"48,720,976"
2021/12/3, NT$608.00 , NT$614.00 , NT$614.00 , NT$606.00 ,"27,571,974"
2021/12/6, NT$600.00 , NT$603.00 , NT$609.00 , NT$600.00 ,"24,474,913"
2021/12/7, NT$607.00 , NT$602.00 , NT$607.00 , NT$597.00 ,"21,105,883"
2021/12/8, NT$602.00 , NT$614.00 , NT$614.00 , NT$602.00 ,"22,194,708"
2021/12/9, NT$608.00 , NT$606.00 , NT$608.00 , NT$602.00 ,"12,467,833"
2021/12/10, NT$605.00 , NT$605.00 , NT$608.00 , NT$602.00 ,"11,371,659"
2021/12/13, NT$601.00 , NT$609.00 , NT$610.00 , NT$601.00 ,"17,994,933"
2021/12/14, NT$599.00 , NT$598.00 , NT$600.00 , NT$597.00 ,"22,997,961"
2021/12/15, NT$600.00 , NT$597.00 , NT$601.00 , NT$596.00 ,"22,419,040"
2021/12/16, NT$605.00 , NT$605.00 , NT$605.00 , NT$601.00 ,"22,151,282"
2021/12/17, NT$607.00 , NT$601.00 , NT$607.00 , NT$599.00 ,"30,319,495"
2021/12/20, NT$598.00 , NT$607.00 , NT$607.00 , NT$598.00 ,"22,381,761"
2021/12/21, NT$597.00 , NT$597.00 , NT$600.00 , NT$595.00 ,"17,669,559"
2021/12/22, NT$600.00 , NT$598.00 , NT$601.00 , NT$598.00 ,"10,127,887"
2021/12/23, NT$606.00 , NT$607.00 , NT$608.00 , NT$602.00 ,"16,910,501"
2021/12/24, NT$604.00 , NT$606.00 , NT$609.00 , NT$604.00 ,"12,008,673"
2021/12/27, NT$606.00 , NT$604.00 , NT$610.00 , NT$604.00 ,"16,771,900"
2021/12/28, NT$615.00 , NT$610.00 , NT$615.00 , NT$610.00 ,"35,156,339"
2021/12/29, NT$616.00 , NT$615.00 , NT$619.00 , NT$614.00 ,"25,604,320"
2021/12/30, NT$615.00 , NT$619.00 , NT$620.00 , NT$615.00 ,"20,522,055"
2022/1/3, NT$631.00 , NT$619.00 , NT$632.00 , NT$618.00 ,"73,703,302"
2022/1/4, NT$656.00 , NT$645.00 , NT$656.00 , NT$644.00 ,"90,945,643"
2022/1/5, NT$650.00 , NT$669.00 , NT$669.00 , NT$646.00 ,"72,505,550"
2022/1/6, NT$644.00 , NT$638.00 , NT$646.00 , NT$636.00 ,"57,490,736"
2022/1/7, NT$634.00 , NT$643.00 , NT$646.00 , NT$632.00 ,"39,847,766"
