日期,收盤,開盤,最高,最低,成交量
2008/12/1, NT$32.87 , NT$32.00 , NT$34.23 , NT$29.95 ,"446,886,771"
2009/1/1, NT$30.50 , NT$34.38 , NT$34.87 , NT$30.01 ,"267,042,704"
2009/2/1, NT$33.05 , NT$30.38 , NT$33.38 , NT$30.38 ,"342,000,937"
2009/3/1, NT$36.64 , NT$32.50 , NT$38.38 , NT$31.30 ,"565,284,388"
2009/4/1, NT$42.15 , NT$37.09 , NT$42.15 , NT$36.91 ,"463,489,722"
2009/5/1, NT$48.00 , NT$45.10 , NT$48.14 , NT$43.63 ,"356,293,798"
2009/6/1, NT$44.46 , NT$48.08 , NT$48.65 , NT$42.40 ,"350,301,711"
2009/7/1, NT$49.02 , NT$44.48 , NT$49.94 , NT$44.45 ,"239,018,115"
2009/8/1, NT$48.45 , NT$49.10 , NT$50.10 , NT$47.01 ,"200,346,916"
2009/9/1, NT$53.30 , NT$48.45 , NT$55.00 , NT$48.45 ,"293,960,548"
2009/10/1, NT$51.65 , NT$53.80 , NT$55.15 , NT$50.60 ,"221,150,551"
2009/11/1, NT$52.70 , NT$50.80 , NT$55.20 , NT$50.60 ,"179,893,709"
2009/12/1, NT$56.45 , NT$52.70 , NT$56.45 , NT$52.35 ,"220,864,107"
2010/1/1, NT$53.00 , NT$56.45 , NT$58.15 , NT$52.20 ,"293,981,080"
2010/2/1, NT$51.55 , NT$53.15 , NT$53.20 , NT$50.50 ,"177,816,182"
2010/3/1, NT$54.25 , NT$51.50 , NT$54.55 , NT$51.50 ,"252,956,700"
2010/4/1, NT$54.80 , NT$54.25 , NT$55.95 , NT$53.65 ,"187,818,102"
2010/5/1, NT$50.10 , NT$54.50 , NT$54.85 , NT$48.65 ,"295,447,114"
2010/6/1, NT$49.55 , NT$50.00 , NT$52.00 , NT$47.95 ,"156,662,911"
2010/7/1, NT$53.90 , NT$49.55 , NT$54.15 , NT$49.01 ,"209,860,667"
2010/8/1, NT$53.30 , NT$54.35 , NT$55.70 , NT$53.15 ,"172,565,515"
2010/9/1, NT$57.70 , NT$53.50 , NT$58.15 , NT$53.35 ,"196,625,990"
2010/10/1, NT$56.00 , NT$57.90 , NT$58.10 , NT$55.10 ,"211,167,823"
2010/11/1, NT$57.10 , NT$56.20 , NT$57.85 , NT$56.05 ,"176,095,025"
2010/12/1, NT$61.40 , NT$57.10 , NT$61.40 , NT$57.10 ,"276,924,947"
2011/1/1, NT$63.00 , NT$61.60 , NT$63.00 , NT$59.40 ,"231,530,529"
2011/2/1, NT$59.50 , NT$63.05 , NT$63.20 , NT$58.45 ,"285,081,819"
2011/3/1, NT$59.55 , NT$59.70 , NT$60.70 , NT$55.60 ,"366,564,497"
2011/4/1, NT$62.00 , NT$59.60 , NT$62.50 , NT$58.80 ,"383,869,399"
2011/5/1, NT$62.00 , NT$62.20 , NT$62.60 , NT$59.80 ,"351,277,862"
2011/6/1, NT$58.85 , NT$62.00 , NT$62.45 , NT$57.20 ,"363,738,770"
2011/7/1, NT$59.90 , NT$59.20 , NT$61.45 , NT$58.40 ,"383,845,674"
2011/8/1, NT$54.55 , NT$60.50 , NT$60.50 , NT$50.40 ,"853,378,209"
2011/9/1, NT$51.65 , NT$55.05 , NT$56.10 , NT$49.30 ,"529,522,933"
2011/10/1, NT$52.20 , NT$50.75 , NT$53.70 , NT$49.50 ,"384,558,494"
2011/11/1, NT$48.08 , NT$52.20 , NT$52.85 , NT$47.05 ,"547,234,214"
